Site,Season,Depth,Date,day,Temperature,AMPBEA,ARTIC,BOTOCI,CHALOM,CHRENT,CLAPRO,CODCAR,COLSIN,CRUST,DIOPTR,DICSP,CODERC,EUCISI,FILRED,FUZBRO,FUZGRE,GALOBT,GOORED,LOBVAR,PALCOR,RHOGRA,SARFIL,SOLFIL,SPOPEN,STRAPR,TUBRED,TURF,UDOCYA,UNGRE,UNRED,HALYSP,ZONPAD,,Total Algal Cover,Total Percent Cover,Algal Proportion,,Site,,Season
CapDan,spring,32,2-May-12,331,21.9388,2.571428571,0,0,0.571428571,0,0.142857143,2.571428571,0,1.142857143,0.428571429,7,2.857142857,0,22.42857143,0,0.857142857,1.285714286,0,0,0,1.285714286,5,2.142857143,0,0,0,0,1.857142857,0,0.285714286,0,4,,56.42857143,60.42857143,0.933806147,,,,
CapDan,summer,32,15-Aug-12,436,23.9969,2.186588921,1.020408163,0,0,0,0.145772595,0.428571429,0,1.163265306,2.728862974,1.163265306,29.47521866,0,2.040816327,0,0,0,0,1.002915452,0.714285714,1.017492711,10.41399417,21.83090379,0,0,0,0,0,0,0,0,0.285714286,,75.6180758,76.92335319,0.983031455,,,,
CapDan,fall,32,20-Sep-12,472,26.891,0.869565217,0,0,0,0,0.142857143,0.571428571,0,4.339544513,1.285714286,0.142857143,19.56935818,0.289855072,3.906832298,0,0.144927536,1.428571429,0,1.014492754,0.142857143,1.149068323,11.00414079,8.451345756,0,0,0,0,0,0,0,0,3.734989648,,58.1884058,61.22360249,0.950424402,,,,
CapDan,winter,32,30-Nov-12,543,19.16441667,1,0,0,0,0,0,1.142857143,0,4.857142857,0,0,2.714285714,0,3.857142857,0,0,0.571428571,0,0,0,0.571428571,1.142857143,0.857142857,0,0,0,0,0,0,0,0,5.857142857,,22.57142857,26,0.868131868,,,,
CapDan,winter,32,28-Jan-13,602,15.71929167,4.090909091,0,0,0,0,0,2.090909091,0,6.909090909,0,0.090909091,0.818181818,0,12.45454545,0,0.090909091,0,0,0,0,5.181818182,1.454545455,0,0,0,0,0,0,0,0.272727273,0,25.63636364,,59.09090909,65.54545455,0.901525659,,,,
DanSpot,summer,34.5,7-Jun-11,1,21.1078125,0.573065903,0,0,1.00286533,1.144903807,0,0,0,0,0,8.018010643,0.857142857,0,11.30126893,0,2.716741711,0,0,0,0.143266476,9.735161686,0.573065903,0,0,0,0,1.575931232,0,0,0,0.285714286,0,,37.92713876,48.80884159,0.77705468,,,,
DanSpot,fall,34.5,26-Oct-11,142,24.20475,0.292901743,0,0,0,0,0,0,0,1.19047619,0,3.273809524,0,0,1.036949362,0,0,0,0,0,0,3.923511047,2.459002333,0,0,0,0,0,0,0,0.739330314,0,0.148809524,,13.06479004,32.37228969,0.403579424,,,,
DanSpot,spring,34.5,2-May-12,331,21.8025,4.31547619,0,0.285714286,0,0.142857143,0.285714286,0,0,0.744047619,0,11.29761905,0.142857143,0,14.76785714,0,0.285714286,0,0,0,0,0.886904762,0,0,0,0,0,0,0,0,0,0,0.148809524,,33.30357143,48.42261905,0.6877689,,,,
DanSpot,summer,34.5,15-Aug-12,436,21.1123,1.612903226,1.169250105,0,0,0,0.436112275,0,0,1.60536238,0,1.319648094,3.571428571,0,5.797235023,0,0,0,0,0,0.428571429,3.293255132,5.428571429,23.57938835,0,2,0,0,0,0,0,0.586510264,0,,50.82823628,80.3979891,0.632207806,,,,
DanSpot,fall,34.5,20-Sep-12,472,27.456,3.146950471,0,0,0,0,0.286123619,0,0,2.577568563,0,18.62054851,8.443716742,0,3.85755219,0,1.144494474,0,0,0,0.286532951,9.586164552,1.142857143,3.43020876,0,0,0.857142857,0,0,0,0,1.143675808,0.286123619,,54.80966026,60.82562424,0.901094908,,,,
DanSpot,winter,34.5,30-Nov-12,543,21.13121429,0.285714286,0,0,0,0,0,0,0,2.857142857,0,0,1.428571429,0,2.571428571,0,0,0,0,0,0,3.142857143,0,0,0,0,0,0,0,0,0.142857143,0,0,,10.42857143,21.14285714,0.493243243,,,,
DanSpot,winter,34.5,28-Jan-13,602,15.07214583,0.909090909,0,0,0,0,0,0,0,0.272727273,0,0,0.818181818,1.727272727,10.54545455,0,0.090909091,0,0,0,0.090909091,1.454545455,0,0,0,0,0,0,0,0,1.818181818,0,0.090909091,,17.81818182,26.81818182,0.66440678,,,,
